#
#**************************************************************
#
#                       OGLE IV FIELDS
#
#**************************************************************
#
###############################################################
#
#   BULGE FIELDS
#
###############################################################
#
# Numbers given mark field centers.
# Width  (along RA)  of the fields are 01:23:00 degrees (maximal) 01:04:25 deg (minimal).
# Height (along DEC) of the fields are 01:14:10 degrees (maximal) 00:35:35 deg (minimal).
#
#  Name       RA[hr]      DEC[deg]       l[deg]       b[deg]     Epoch    RA_decimal   DEC_decimal    l_decimal     b_decimal  Prefix No
#
  BLG865     16:47:15    -32:48:25     349:34:41     07:58:29   2000.0    16.7875000   -32.8069444   349.5779539     7.9747072   BLG 865
  BLG866     16:46:45    -34:02:15     348:33:22     07:16:05   2000.0    16.7791667   -34.0375000   348.5561655     7.2679699   BLG 866
  BLG867     16:46:20    -35:16:05     347:33:02     06:32:37   2000.0    16.7722222   -35.2680556   347.5504532     6.5435472   BLG 867
  BLG868     16:54:38    -24:48:30     356:56:50     11:42:05   2000.0    16.9105556   -24.8083333   356.9471542    11.7014062   BLG 868
  BLG869     16:54:26    -26:02:20     355:55:29     10:59:10   2000.0    16.9072222   -26.0388889   355.9248002    10.9861774   BLG 869
  BLG870     16:54:13    -27:16:10     354:54:20     10:16:11   2000.0    16.9036111   -27.2694444   354.9056620    10.2697193   BLG 870
  BLG871     16:53:59    -28:30:00     353:53:22     09:33:08   2000.0    16.8997222   -28.5000000   353.8894991     9.5521241   BLG 871
  BLG872     16:53:44    -29:43:50     352:52:34     08:50:01   2000.0    16.8955556   -29.7305556   352.8760785     8.8334770   BLG 872
  BLG873     16:53:28    -30:57:40     351:51:55     08:06:50   2000.0    16.8911111   -30.9611111   351.8651747     8.1138560   BLG 873
  BLG874     16:53:11    -32:11:30     350:51:24     07:23:36   2000.0    16.8863889   -32.1916667   350.8565694     7.3933325   BLG 874
  BLG875     16:52:53    -33:25:20     349:51:00     06:40:19   2000.0    16.8813889   -33.4222222   349.8500511     6.6719714   BLG 875
  BLG876     16:52:25    -34:39:10     348:49:33     05:58:26   2000.0    16.8736111   -34.6527778   348.8258902     5.9738002   BLG 876
  BLG877     16:52:05    -35:53:00     347:49:24     05:15:02   2000.0    16.8680556   -35.8833333   347.8231954     5.2505243   BLG 877
  BLG878     16:51:55    -37:06:50     346:50:43     04:29:54   2000.0    16.8652778   -37.1138889   346.8452212     4.4982777   BLG 878
  BLG879     17:00:01    -24:11:35     358:12:05     11:05:44   2000.0    17.0002778   -24.1930556   358.2012675    11.0956447   BLG 879
  BLG880     16:59:52    -25:25:25     357:10:39     10:23:09   2000.0    16.9977778   -25.4236111   357.1775504    10.3858257   BLG 880
  BLG881     16:59:42    -26:39:15     356:09:24     09:40:31   2000.0    16.9950000   -26.6541667   356.1566189     9.6751910   BLG 881
  BLG882     16:59:32    -27:53:05     355:08:26     08:57:39   2000.0    16.9922222   -27.8847222   355.1404873     8.9609089   BLG 882
  BLG883     16:59:21    -29:06:55     354:07:36     08:14:46   2000.0    16.9891667   -29.1152778   354.1266179     8.2460826   BLG 883
  BLG884     16:59:09    -30:20:45     353:06:53     07:31:51   2000.0    16.9858333   -30.3458333   353.1147778     7.5307989   BLG 884
  BLG885     16:58:57    -31:34:35     352:06:25     06:48:44   2000.0    16.9825000   -31.5763889   352.1069312     6.8123317   BLG 885
  BLG886     16:58:43    -32:48:25     351:05:54     06:05:47   2000.0    16.9786111   -32.8069444   351.0984550     6.0964093   BLG 886
  BLG887     16:58:29    -34:02:15     350:05:37     05:22:39   2000.0    16.9747222   -34.0375000   350.0934887     5.3775313   BLG 887
  BLG888     16:58:14    -35:16:05     349:05:23     04:39:31   2000.0    16.9705556   -35.2680556   349.0896340     4.6585670   BLG 888
  BLG889     16:57:58    -36:29:55     348:05:12     03:56:22   2000.0    16.9661111   -36.4986111   348.0866887     3.9395740   BLG 889
  BLG997     17:00:18    -37:13:45     347:47:58     03:07:17   2000.0    17.0050000   -37.2291667   347.7994553     3.1214505   BLG 997
  BLG998     17:00:12    -38:27:35     346:48:58     02:22:47   2000.0    17.0033333   -38.4597222   346.8162397     2.3797068   BLG 998
  BLG890     17:05:22    -23:34:40     359:26:35     10:28:28   2000.0    17.0894444   -23.5777778   359.4431074    10.4743580   BLG 890
  BLG891     17:05:16    -24:48:30     358:25:06     09:46:09   2000.0    17.0877778   -24.8083333   358.4183883     9.7692456   BLG 891
  BLG892     17:05:10    -26:02:20     357:23:54     09:03:39   2000.0    17.0861111   -26.0388889   357.3982785     9.0607160   BLG 892
  BLG893     17:05:03    -27:16:10     356:22:49     08:21:07   2000.0    17.0841667   -27.2694444   356.3802475     8.3519702   BLG 893
  BLG894     17:04:56    -28:30:00     355:21:59     07:38:25   2000.0    17.0822222   -28.5000000   355.3662545     7.6401701   BLG 894
  BLG895     17:04:48    -29:43:50     354:21:14     06:55:42   2000.0    17.0800000   -29.7305556   354.3538153     6.9284294   BLG 895
  BLG896     17:04:40    -30:57:40     353:20:41     06:12:50   2000.0    17.0777778   -30.9611111   353.3448545     6.2139799   BLG 896
  BLG897     17:04:31    -32:11:30     352:20:13     05:29:59   2000.0    17.0752778   -32.1916667   352.3369394     5.4998462   BLG 897
  BLG898     17:04:22    -33:25:20     351:19:55     04:47:00   2000.0    17.0727778   -33.4222222   351.3319540     4.7833339   BLG 898
